profile,model,feature,epoch,train_loss,val_loss,val_accuracy,val_eer,lr
baseline,cnn,mfcc,1,0.2791090952166429,0.2829187918598957,0.890959587828047,0.1879359075749203,0.001
baseline,cnn,mfcc,2,0.2336328406189256,0.2484497512438661,0.8993318306230881,0.1479390464474271,0.001
baseline,cnn,mfcc,3,0.2100105657527726,0.2756525867756122,0.8573498631460312,0.132308088011225,0.001
baseline,cnn,mfcc,4,0.1845816738404468,0.1479103070485997,0.9363629045242312,0.089569642131921,0.001
baseline,cnn,mfcc,5,0.1710416690137463,0.1135808245418795,0.9560859764933184,0.0870691408135664,0.001
baseline,cnn,mfcc,6,0.1688668508784239,0.1178996515574422,0.956689744002576,0.0816532479514949,0.001
baseline,cnn,mfcc,7,0.1548275101339845,0.1117465625293798,0.9578570278538078,0.0759289950144171,0.001
baseline,cnn,mfcc,8,0.1513711743814161,0.2315130286102248,0.9199806794397036,0.121650109078988,0.001
baseline,cnn,mfcc,9,0.1378828800363367,0.1872646697039497,0.9178071164063758,0.0659550128737426,0.001
baseline,cnn,mfcc,10,0.1328541414065094,0.1367220348183553,0.9422798261149572,0.0752842517316606,0.001
baseline,cnn,mfcc,11,0.1293405055600512,0.1680891751556883,0.9370069232007728,0.0759682485232231,0.001
baseline,cnn,mfcc,12,0.1217434476347679,0.1140476949926813,0.9526243761069072,0.0597878465785585,0.001
baseline,cnn,mfcc,13,0.1202489691047428,0.1317991076834707,0.947794236032845,0.055739947299612,0.001
baseline,cnn,mfcc,14,0.1151549907546516,0.1730792872035509,0.9275881500563516,0.0559642027714456,0.001
baseline,cnn,mfcc,15,0.1084868383017743,0.5731306204784046,0.9010223796490098,0.1149951783313308,0.001
baseline,cnn,mfcc,16,0.0932132323688649,0.3034457345238977,0.9136209950088552,0.0816532479514949,0.0005
baseline,cnn,mfcc,17,0.0938981448352289,0.0831781781440943,0.9655047496377396,0.0420095979933747,0.0005
baseline,cnn,mfcc,18,0.0874178250654181,0.1070935087181919,0.9537111576235712,0.0541476982446535,0.0005
baseline,cnn,mfcc,19,0.0864521877150292,0.1140516628137131,0.955643213653196,0.0546130371499432,0.0005
baseline,cnn,mfcc,20,0.0873640426507232,0.0957074905822907,0.9615198840766382,0.0477338509304525,0.0005
baseline,cnn,mfcc,21,0.0796178816336994,0.0950509035838982,0.9639349541136693,0.0462985807057774,0.0005
baseline,cnn,mfcc,22,0.0818954289593595,0.2066250058423923,0.9357188858476896,0.0694030199642993,0.0005
baseline,cnn,mfcc,23,0.0791568907651495,0.1624908107179189,0.940991788761874,0.0530432136421679,0.0005
baseline,cnn,mfcc,24,0.0793337946571263,0.0745732755176969,0.9696506198679762,0.040350072296866,0.0005
baseline,cnn,mfcc,25,0.0746391522264367,0.0757247041834413,0.9722669457414264,0.0432262103317769,0.0005
baseline,cnn,mfcc,26,0.0786522373589382,0.0598831634747796,0.9793109000161004,0.0401762655049599,0.0005
